Date,Product_Name,Category,Unit_Size_kg,Unit_Price_PHP,Quantity_Sold,Sales_Value_PHP,Remaining_Stocks,Restock_Quantity
2026-01-29,white rice,Rice,25,1000,110,110000,20,30
2026-01-27,white rice,Rice,25,1000.0,80,80000.0,20,30
2026-01-26,white rice,Rice,25,1000.0,30,30000.0,20,50
2025-12-09,Atlas MOP,Fertilizer,25,777.26,6,21784.32,0,0
2025-10-16,Sinandomeng Rice,Rice,25,1238.84,17,21060.28,9,17
2025-09-26,Vast Target Premium Starter 25 kg,Feeds,25,1132.79,15,16991.85,4,19
2025-09-26,Cargill Grower Pellets 25 kg,Feeds,25,1214.6,1,1214.6,9,6
2025-09-26,Vast Target Premium Pre-Starter 25 kg,Feeds,25,959.64,32,30708.48,0,19
2025-09-26,Atlas MOP,Fertilizer,25,727.76,15,10916.4,2,14
2025-09-26,Amigo Planters Prilled Urea,Fertilizer,25,1252.93,8,10023.44,6,12
2025-09-26,Amigo Planters Prilled Urea,Fertilizer,25,1243.44,11,13677.84,2,12
2025-09-26,Vast Target Premium Value Maxx Grower 25 kg,Feeds,25,1136.75,22,25008.5,0,19
2025-09-26,Vast Target Premium Finisher 25 kg,Feeds,25,870.51,21,19151.22,0,19
2025-09-26,Planters Products Pig Feed,Feeds,25,1049.7,14,14695.8,3,13
2025-09-26,Purina Chick Starter,Feeds,25,1278.38,7,8948.66,9,7
2025-09-26,Amigo Planters Prilled Urea,Fertilizer,25,1328.01,9,11952.09,7,10
2025-09-26,Cargill Starter Mash,Feeds,25,1039.74,8,8317.92,8,14
2025-09-26,Vast Target Premium Gestating 25 kg,Feeds,25,993.49,75,74511.75,0,19
2025-09-26,B-MEG Pig Starter,Feeds,25,1096.56,24,26317.44,0,19
2025-09-26,B-MEG Pig Starter,Feeds,25,1108.9,16,17742.4,0,14
2025-09-26,B-MEG Broiler Starter,Feeds,25,1364.96,10,13649.6,9,16
2025-09-26,Pilmico Fish Feed,Feeds,25,1091.72,10,10917.2,4,9
2025-09-26,Soil Conditioner Organic 50 kg,Fertilizer,25,1442.11,19,27400.09,3,15
2025-09-26,B-MEG Pig Starter,Feeds,25,1115.94,12,13391.28,4,7
2025-09-26,Starter Crumble 10 kg,Feeds,25,1261.22,22,27746.84,5,19
2025-09-26,Charoen Pokphand Broiler Starter,Feeds,25,1228.1,8,9824.8,9,8
2025-09-26,Purina Chick Starter,Feeds,25,1171.34,12,14056.08,0,12
2025-09-26,Planters Products Pig Feed,Feeds,25,1053.46,16,16855.36,9,16
2025-09-26,CPF Fish Pellets,Feeds,25,1244.96,12,14939.52,9,15
2025-09-26,Purina Grower 25 kg,Feeds,25,1066.25,8,8530.0,6,5
2025-09-26,Vast Target Premium Lactating 25 kg,Feeds,25,1072.4,86,92226.4,0,19
2025-09-26,B-MEG Broiler Starter,Feeds,25,1374.42,13,17867.46,1,10
2025-09-26,Vast Target Premium Premium Grower 25 kg,Feeds,25,901.88,62,55916.56,0,19
2025-09-22,Dona Maria Rice,Rice,25,1111.59,5,5557.95,9,9
2025-09-22,Dinorado Rice,Rice,25,1192.28,23,27422.44,5,19
2025-09-22,Blueberry 5451 Rice,Rice,25,1188.66,7,8320.62,9,11
2025-09-22,Goldenmine Malagkit,Rice,25,1100.2,5,5501.0,9,5
2025-09-22,Goldenmine Malagkit 2 kg,Rice,25,1049.82,16,16797.12,8,15
2025-09-22,Farmboy Rice,Rice,25,1027.66,8,8221.28,5,11
2025-09-22,Farmboy Rice,Rice,25,1095.32,17,18620.44,2,14
2025-09-22,Dona Carmen Rice,Rice,25,1019.53,19,19371.07,5,16
2025-09-22,Lion Ivory Classic Premium Rice,Rice,25,1095.28,6,6571.68,9,6
2025-09-19,B-MEG Pig Starter,Feeds,25,1119.02,7,7833.14,9,7
2025-09-19,B-MEG Broiler Starter,Feeds,25,1400.01,7,9800.07,2,5
2025-09-19,Cargill Grower Pellets 25 kg,Feeds,25,1217.87,14,17050.18,7,12
2025-09-19,Selecta Pig Mash,Feeds,25,1492.52,16,23880.32,0,10
2025-09-19,Nova Prima Poultry Mash 25 kg,Feeds,25,928.26,9,8354.34,6,6
2025-09-19,B-MEG Broiler Starter,Feeds,25,1475.41,9,13278.69,4,8
2025-09-19,Purina Grower 25 kg,Feeds,25,1093.07,10,12023.77,3,5
2025-09-19,B-MEG Pig Starter,Feeds,25,1091.27,11,12003.97,9,11
2025-09-19,Soil Conditioner Organic 50 kg,Fertilizer,25,1428.43,11,15712.73,9,13
2025-09-19,Novacid 19-19-19+3CaO+TE,Fertilizer,25,1235.84,10,12358.4,8,14
2025-09-19,Soil Conditioner Organic 25 kg,Fertilizer,25,629.37,2,1258.74,9,2
2025-09-19,B-MEG Pig Starter,Feeds,25,1095.21,12,13142.52,9,15
2025-09-19,Charoen Pokphand Broiler Starter,Feeds,25,1225.84,3,3677.52,9,4
