product,model,rmse,mae,mape,r2,accuracy,is_best
B-MEG Pig Starter,ARIMA,37140.686842871226,33482.55666666667,100.0,1.0,1.0,False
B-MEG Pig Starter,Prophet,26386.874062065974,22549.05927418092,114.98865690160889,-1.6950639392966034,1.0,True
B-MEG Pig Starter,XGBoost,37140.686842871226,33482.55666666667,100.0,-4.339407243134523,1.0,False
B-MEG Broiler Starter,ARIMA,30452.937404227978,25031.004149839235,97.47963321814723,1.0,1.0,False
B-MEG Broiler Starter,Prophet,25501.860406375607,22375.450808104677,6.656144073597851e+20,-1.002759403374851,1.0,True
B-MEG Broiler Starter,XGBoost,31000.93962469519,25225.658333333333,96.66666666666667,-1.9596119065898603,1.0,False
Amigo Planters Prilled Urea,ARIMA,31430.341949961447,28234.19625,100.0,1.0,1.0,False
Amigo Planters Prilled Urea,Prophet,18101.428244430703,13763.65506048865,48.01581215576577,-0.7182360777016752,1.0,True
Amigo Planters Prilled Urea,XGBoost,31430.341949961447,28234.19625,100.0,-4.180305347694575,1.0,False
Purina Chick Starter,ARIMA,31928.180136567695,27222.078064516125,96.7741935483871,1.0,1.0,False
Purina Chick Starter,Prophet,16859.401907619853,14413.137333929386,3.9348429836774e+20,-0.021095448739412603,1.0,True
Purina Chick Starter,XGBoost,31928.180136567695,27222.078064516125,96.7741935483871,-2.6621012106116244,1.0,False
Kanto Japanese Rice,ARIMA,23791.326470335207,20580.206687217033,96.7105374570793,1.0,1.0,False
Kanto Japanese Rice,Prophet,14043.351323409668,10348.656815038823,53.551772317738845,-0.36071621912466556,1.0,True
Kanto Japanese Rice,XGBoost,24728.764200817317,21600.383103448272,100.0,-3.219207327663285,1.0,False
Charoen Pokphand Broiler Starter,ARIMA,28134.781356719133,24956.475806451614,100.0,1.0,1.0,False
Charoen Pokphand Broiler Starter,Prophet,15799.119066537764,11952.40232227972,51.084307470157576,-0.47926876988168954,1.0,True
Charoen Pokphand Broiler Starter,XGBoost,28134.781356719133,24956.475806451614,100.0,-3.6910324093297273,1.0,False
Dinorado Rice,ARIMA,26867.12142228597,22939.149615384613,92.3076923076923,1.0,1.0,False
Dinorado Rice,Prophet,22829.74365927208,19071.492862142102,5.614269638577195e+20,-1.6640948354181604,1.0,True
Dinorado Rice,XGBoost,26867.12142228597,22939.149615384613,92.3076923076923,-2.689690062516249,1.0,False
Dona Maria Rice,ARIMA,24800.370085809205,22071.775,100.0,1.0,1.0,False
Dona Maria Rice,Prophet,16008.60281869502,13788.341873640407,93.69852081173332,-1.0037933799167456,1.0,True
Dona Maria Rice,XGBoost,24800.370085809205,22071.775,100.0,-3.8090844261127863,1.0,False
Goldenmine Malagkit,ARIMA,21327.290710431276,18477.936551724135,96.55172413793103,1.0,1.0,False
Goldenmine Malagkit,Prophet,11578.350028234483,9499.225675254296,2.051798368248153e+20,-0.1819709660080011,1.0,True
Goldenmine Malagkit,XGBoost,21327.290710431276,18477.936551724135,96.55172413793103,-3.010373638694743,1.0,False
Golden Harvest Rice,ARIMA,22603.05455485083,20177.537037037036,100.0,1.0,1.0,False
Golden Harvest Rice,Prophet,11748.948208138125,9812.93828697763,108.88293665905016,-0.33029138070512465,1.0,True
Golden Harvest Rice,XGBoost,22603.05455485083,20177.537037037036,100.0,-3.923603423555174,1.0,False
